,reward
0,-4.0
1,-5.0
2,-4.0
3,-2.0
4,-3.0
5,-5.0
6,-3.0
7,-3.0
8,-4.0
9,-1.0
10,-5.0
11,-5.0
12,-2.0
13,-5.0
14,-3.0
15,-4.0
16,-4.0
17,-3.0
18,-5.0
19,-2.0
20,-5.0
21,-3.0
22,-4.0
23,-4.0
24,-5.0
25,-4.0
26,-5.0
27,-5.0
28,-4.0
29,-4.0
30,-3.0
31,-4.0
32,-4.0
33,-4.0
34,-4.0
35,-3.0
36,-5.0
37,-2.0
38,-4.0
39,-2.0
40,-4.0
41,-4.0
42,-5.0
43,-2.0
44,-3.0
45,-4.0
46,-3.0
47,2.0
48,2.0
49,-1.0
50,1.0
51,-4.0
52,-2.0
53,-3.0
54,-1.0
55,2.0
56,-4.0
57,-4.0
58,-1.0
59,-1.0
60,2.0
61,-1.0
62,-4.0
63,-4.0
64,2.0
65,-1.0
66,-3.0
67,1.0
68,-5.0
69,2.0
70,-1.0
71,-1.0
72,7.0
73,-1.0
74,-2.0
75,2.0
76,-3.0
77,-1.0
78,-1.0
79,2.0
80,4.0
81,5.0
82,3.0
83,4.0
84,3.0
85,1.0
86,2.0
87,2.0
88,-3.0
89,2.0
90,2.0
91,-1.0
92,2.0
93,3.0
94,3.0
95,2.0
96,2.0
97,-1.0
98,2.0
99,2.0
100,-1.0
101,2.0
102,4.0
103,2.0
104,-1.0
105,7.0
106,2.0
107,4.0
108,4.0
109,2.0
110,4.0
111,-3.0
112,2.0
113,0.0
114,4.0
115,2.0
116,0.0
117,-1.0
118,-1.0
119,0.0
120,2.0
121,7.0
122,-1.0
123,2.0
124,3.0
125,4.0
126,3.0
127,3.0
