,steps
0,164
1,119
2,167
3,241
4,193
5,119
6,194
7,215
8,164
9,271
10,117
11,118
12,220
13,118
14,191
15,147
16,146
17,193
18,119
19,242
20,119
21,192
22,166
23,165
24,116
25,163
26,117
27,118
28,166
29,145
30,193
31,164
32,164
33,163
34,145
35,195
36,118
37,260
38,144
39,224
40,146
41,146
42,117
43,207
44,195
45,165
46,176
47,374
48,239
49,237
50,333
51,146
52,223
53,175
54,235
55,240
56,164
57,145
58,251
59,251
60,240
61,237
62,146
63,147
64,363
65,268
66,194
67,337
68,119
69,240
70,237
71,257
72,295
73,250
74,206
75,239
76,175
77,236
78,256
79,240
80,315
81,367
82,268
83,315
84,268
85,354
86,239
87,240
88,175
89,239
90,239
91,253
92,239
93,273
94,268
95,239
96,239
97,259
98,240
99,240
100,311
101,240
102,315
103,375
104,237
105,292
106,240
107,315
108,334
109,239
110,321
111,193
112,239
113,336
114,315
115,240
116,284
117,238
118,272
119,299
120,240
121,292
122,254
123,239
124,269
125,317
126,409
127,286
