,reward
0,-5.0
1,-5.0
2,-3.0
3,-2.0
4,-4.0
5,-5.0
6,-5.0
7,-3.0
8,-3.0
9,-3.0
10,-4.0
11,-5.0
12,-3.0
13,-5.0
14,-4.0
15,-5.0
16,-5.0
17,-4.0
18,-1.0
19,-1.0
20,-4.0
21,-3.0
22,-3.0
23,-3.0
24,-2.0
25,-4.0
26,-5.0
27,-4.0
28,-5.0
29,-5.0
30,-4.0
31,-4.0
32,0.0
33,-4.0
34,-4.0
35,-2.0
36,-5.0
37,-1.0
38,-5.0
39,-4.0
40,-4.0
41,-2.0
42,-5.0
43,-4.0
44,-3.0
45,-5.0
46,-5.0
47,-1.0
48,-5.0
49,-3.0
50,-4.0
51,-4.0
52,-4.0
53,-4.0
54,-1.0
55,-4.0
56,-4.0
57,-3.0
58,-4.0
59,-3.0
60,-2.0
61,-3.0
62,-1.0
63,-5.0
64,-4.0
65,-4.0
66,-3.0
67,-1.0
68,-4.0
69,-3.0
70,-2.0
71,-4.0
72,-4.0
73,-2.0
74,-4.0
75,-4.0
76,-3.0
77,-2.0
78,-2.0
79,-2.0
80,-1.0
81,-4.0
82,-2.0
83,-2.0
84,-4.0
85,-5.0
86,-4.0
87,-4.0
88,-4.0
89,-3.0
90,-1.0
91,-3.0
92,-1.0
93,-5.0
94,-5.0
95,-3.0
96,-4.0
97,0.0
98,-2.0
99,0.0
100,-4.0
101,-1.0
102,-2.0
103,-3.0
104,-1.0
105,-3.0
106,-2.0
107,-4.0
108,-1.0
109,-2.0
110,-3.0
111,-3.0
112,-2.0
113,-2.0
114,-4.0
115,-1.0
116,-3.0
117,-2.0
118,-3.0
119,-2.0
120,-2.0
121,-3.0
122,-1.0
123,0.0
124,-4.0
125,-3.0
126,-3.0
127,-1.0
128,0.0
129,-2.0
130,-4.0
131,-1.0
132,-1.0
133,-3.0
134,0.0
135,-2.0
136,-4.0
137,-2.0
138,0.0
139,-2.0
140,-5.0
141,-5.0
142,-3.0
143,-2.0
144,-1.0
145,-3.0
146,-3.0
147,-3.0
148,-1.0
149,3.0
150,-3.0
151,-2.0
152,-1.0
153,-1.0
154,0.0
155,-2.0
156,-2.0
157,-4.0
158,-2.0
159,-2.0
160,-2.0
161,-4.0
162,-1.0
163,-3.0
164,-3.0
165,-2.0
166,-3.0
167,-3.0
168,-2.0
169,-1.0
170,-3.0
171,-1.0
172,2.0
173,-1.0
174,-2.0
175,-1.0
176,-3.0
177,-2.0
178,-1.0
179,-2.0
180,1.0
181,-1.0
182,-1.0
183,-1.0
184,0.0
185,-2.0
186,-2.0
187,-3.0
188,1.0
189,-1.0
190,0.0
191,-3.0
192,-3.0
193,0.0
194,4.0
195,0.0
196,-2.0
197,3.0
198,0.0
199,-3.0
200,-2.0
201,-1.0
202,-3.0
203,-4.0
204,-2.0
205,-3.0
206,0.0
207,1.0
208,-2.0
209,-1.0
210,-1.0
211,-4.0
212,0.0
213,-3.0
214,-1.0
215,5.0
216,-1.0
217,-1.0
218,0.0
219,-3.0
220,-2.0
221,-2.0
222,-3.0
223,2.0
224,-1.0
225,-1.0
226,-1.0
227,-1.0
228,-1.0
229,-3.0
230,0.0
231,-1.0
232,-4.0
233,-1.0
234,0.0
235,-2.0
236,2.0
237,-3.0
238,-1.0
239,0.0
240,-1.0
241,-1.0
242,-3.0
243,0.0
244,-3.0
245,-3.0
