,reward
246,3.0
247,-1.0
248,-2.0
249,-4.0
250,0.0
251,0.0
252,-3.0
253,-2.0
254,-1.0
255,8.0
256,0.0
257,0.0
258,-2.0
259,0.0
260,-3.0
261,7.0
262,2.0
263,-2.0
264,-1.0
265,-2.0
266,-1.0
267,-2.0
268,-3.0
269,0.0
270,8.0
271,-3.0
272,2.0
273,3.0
274,0.0
275,0.0
276,-2.0
277,-1.0
278,0.0
279,-2.0
280,-2.0
281,-3.0
282,-3.0
283,-1.0
284,-4.0
285,-3.0
286,-3.0
287,-2.0
288,-2.0
289,1.0
290,0.0
291,-1.0
292,5.0
293,-1.0
294,0.0
295,1.0
296,-1.0
297,-2.0
298,-1.0
299,-3.0
300,0.0
301,0.0
302,1.0
303,0.0
304,1.0
305,-1.0
306,0.0
307,-2.0
308,6.0
309,-4.0
310,1.0
311,2.0
312,-4.0
313,-1.0
314,1.0
315,0.0
316,5.0
317,6.0
318,3.0
319,-1.0
320,2.0
321,-2.0
322,5.0
323,-2.0
324,0.0
325,-1.0
326,-2.0
327,3.0
328,-1.0
329,2.0
330,2.0
331,0.0
332,-1.0
333,-2.0
334,0.0
335,4.0
336,-4.0
337,0.0
338,-3.0
339,4.0
340,1.0
341,2.0
342,0.0
343,0.0
344,-3.0
345,8.0
346,0.0
347,0.0
348,0.0
349,-2.0
350,0.0
351,-1.0
352,3.0
353,-2.0
354,0.0
355,3.0
356,0.0
357,-1.0
358,-1.0
359,3.0
360,1.0
361,2.0
362,-3.0
363,4.0
364,2.0
365,1.0
366,-2.0
367,-4.0
368,-3.0
369,-1.0
370,-1.0
371,-4.0
372,1.0
373,1.0
374,1.0
375,0.0
376,-1.0
377,4.0
378,0.0
379,-3.0
380,-3.0
381,-1.0
382,-2.0
383,-2.0
384,-2.0
385,1.0
386,-2.0
387,-2.0
388,-3.0
389,3.0
390,7.0
391,-1.0
392,8.0
393,-2.0
394,1.0
395,1.0
396,-1.0
397,2.0
398,-2.0
399,0.0
400,1.0
401,-1.0
402,3.0
403,3.0
404,1.0
405,-1.0
406,-1.0
407,1.0
408,2.0
409,-2.0
410,10.0
411,3.0
412,2.0
413,-1.0
414,2.0
415,2.0
416,-2.0
417,-1.0
418,4.0
419,-1.0
420,-1.0
421,-1.0
422,0.0
423,-1.0
424,3.0
425,3.0
426,6.0
427,-2.0
428,2.0
429,0.0
430,-1.0
431,10.0
432,-1.0
433,4.0
434,-2.0
435,3.0
436,3.0
437,1.0
438,8.0
439,-3.0
440,1.0
441,1.0
442,-1.0
443,-1.0
444,8.0
445,1.0
446,-1.0
447,-2.0
448,3.0
449,0.0
450,5.0
451,3.0
452,4.0
453,-1.0
454,0.0
455,1.0
456,-1.0
457,5.0
458,1.0
459,3.0
460,-1.0
461,-3.0
462,-2.0
463,-3.0
464,9.0
465,0.0
466,5.0
467,-2.0
468,3.0
469,0.0
470,2.0
471,1.0
472,1.0
473,3.0
474,-1.0
475,8.0
476,6.0
477,4.0
478,3.0
479,8.0
480,7.0
481,-1.0
482,-3.0
483,0.0
484,0.0
485,1.0
486,-2.0
487,-1.0
488,0.0
489,8.0
490,-2.0
491,-1.0
492,5.0
493,-2.0
494,0.0
495,4.0
496,1.0
497,3.0
498,9.0
499,2.0
500,0.0
501,-2.0
502,1.0
503,4.0
504,0.0
505,5.0
506,5.0
507,-4.0
508,1.0
509,8.0
510,0.0
511,7.0
512,2.0
513,7.0
514,2.0
515,3.0
516,1.0
517,2.0
518,0.0
519,0.0
520,0.0
521,-1.0
522,-1.0
523,1.0
524,-1.0
525,0.0
526,4.0
527,-1.0
528,-1.0
529,0.0
530,-4.0
531,0.0
532,5.0
533,2.0
534,-3.0
535,-1.0
536,0.0
537,4.0
538,1.0
539,0.0
540,5.0
541,-2.0
542,-1.0
543,-4.0
544,-2.0
545,-1.0
546,-1.0
547,2.0
548,2.0
549,3.0
550,4.0
551,9.0
552,1.0
553,12.0
554,0.0
555,-3.0
556,0.0
557,0.0
558,-3.0
559,4.0
560,0.0
561,0.0
562,0.0
563,12.0
564,7.0
565,6.0
566,-1.0
567,2.0
568,5.0
569,0.0
570,1.0
571,5.0
572,4.0
573,-1.0
574,-1.0
575,0.0
576,4.0
577,1.0
578,3.0
579,9.0
580,6.0
581,4.0
582,8.0
583,-3.0
584,1.0
585,0.0
586,1.0
587,1.0
588,0.0
589,2.0
590,1.0
591,7.0
592,2.0
593,0.0
594,0.0
595,1.0
596,1.0
597,1.0
598,3.0
599,-1.0
600,5.0
601,0.0
602,1.0
603,0.0
604,0.0
605,4.0
606,-1.0
607,1.0
608,5.0
609,-3.0
610,2.0
611,7.0
612,-3.0
613,-1.0
614,0.0
615,0.0
616,-1.0
617,0.0
618,2.0
619,-2.0
620,2.0
621,-2.0
622,0.0
623,3.0
624,-1.0
625,2.0
626,7.0
627,3.0
628,8.0
629,1.0
630,3.0
631,-1.0
632,3.0
633,-1.0
634,3.0
635,0.0
636,-1.0
637,1.0
638,-1.0
639,0.0
640,4.0
641,3.0
642,0.0
643,1.0
644,8.0
645,1.0
646,3.0
647,9.0
648,2.0
649,4.0
650,3.0
651,-1.0
652,0.0
653,-1.0
654,2.0
655,3.0
656,1.0
657,6.0
658,8.0
659,0.0
660,1.0
661,4.0
662,11.0
663,10.0
664,-1.0
665,0.0
666,5.0
667,2.0
668,1.0
669,1.0
670,-1.0
671,0.0
672,6.0
673,2.0
674,0.0
675,3.0
676,3.0
677,0.0
678,1.0
679,3.0
680,5.0
681,5.0
682,-1.0
683,2.0
684,-2.0
685,5.0
686,4.0
687,4.0
688,2.0
689,0.0
690,5.0
691,-2.0
692,-1.0
693,8.0
694,0.0
695,6.0
696,1.0
697,-1.0
698,9.0
699,3.0
700,1.0
701,1.0
702,0.0
703,8.0
704,-1.0
705,6.0
706,7.0
707,4.0
708,2.0
709,-1.0
710,6.0
711,8.0
712,10.0
713,4.0
714,5.0
715,1.0
716,5.0
717,-1.0
718,7.0
719,-1.0
720,3.0
721,-1.0
722,1.0
723,7.0
724,-1.0
725,3.0
726,3.0
727,4.0
728,0.0
729,5.0
730,0.0
731,7.0
732,4.0
733,0.0
734,-1.0
735,-3.0
736,0.0
737,1.0
738,4.0
739,6.0
740,4.0
741,1.0
742,2.0
743,1.0
744,1.0
745,4.0
746,5.0
747,8.0
748,0.0
749,-1.0
750,2.0
751,2.0
752,-2.0
753,3.0
754,3.0
755,11.0
756,-2.0
757,7.0
758,3.0
759,1.0
760,5.0
761,5.0
762,-1.0
763,5.0
764,9.0
765,1.0
766,11.0
767,11.0
768,0.0
769,1.0
770,3.0
771,0.0
772,3.0
773,10.0
774,0.0
775,-1.0
776,4.0
777,0.0
778,3.0
779,6.0
780,4.0
781,0.0
782,8.0
783,-2.0
784,8.0
785,12.0
786,5.0
787,10.0
788,6.0
789,1.0
790,4.0
791,0.0
792,0.0
793,2.0
794,5.0
795,1.0
796,6.0
797,2.0
798,3.0
799,9.0
800,2.0
801,11.0
802,-1.0
803,8.0
804,8.0
805,12.0
806,4.0
807,1.0
808,2.0
809,7.0
810,1.0
811,6.0
812,-1.0
813,2.0
814,-1.0
815,4.0
816,3.0
817,7.0
818,1.0
819,2.0
820,8.0
821,21.0
822,10.0
823,12.0
824,10.0
825,3.0
826,3.0
827,4.0
828,1.0
829,4.0
830,-1.0
831,1.0
832,7.0
833,4.0
834,-1.0
835,3.0
836,-1.0
837,4.0
838,-1.0
839,0.0
840,-1.0
841,-1.0
842,5.0
843,-2.0
844,1.0
845,9.0
846,5.0
847,2.0
848,2.0
849,4.0
850,1.0
851,10.0
852,0.0
853,3.0
854,3.0
855,-1.0
856,5.0
857,3.0
858,-1.0
859,10.0
860,9.0
861,1.0
862,5.0
863,10.0
864,4.0
865,1.0
866,8.0
867,3.0
868,8.0
869,7.0
870,2.0
871,1.0
872,4.0
873,0.0
874,-1.0
875,9.0
876,5.0
877,5.0
878,6.0
879,4.0
880,4.0
881,0.0
882,0.0
883,1.0
884,4.0
885,2.0
886,1.0
887,2.0
888,5.0
889,6.0
890,2.0
891,9.0
892,3.0
893,5.0
894,7.0
895,-1.0
896,2.0
897,0.0
898,5.0
899,9.0
900,6.0
901,0.0
902,4.0
903,7.0
904,3.0
905,1.0
906,8.0
907,0.0
908,5.0
909,2.0
910,2.0
911,6.0
912,1.0
913,7.0
914,0.0
915,12.0
916,7.0
917,6.0
918,4.0
919,0.0
920,14.0
921,0.0
922,0.0
923,3.0
924,0.0
925,5.0
926,0.0
927,2.0
928,-2.0
929,4.0
930,5.0
931,7.0
932,11.0
933,9.0
934,2.0
935,7.0
936,12.0
937,1.0
938,-2.0
939,-2.0
940,6.0
941,3.0
942,1.0
943,4.0
944,2.0
945,7.0
946,4.0
947,8.0
948,5.0
949,3.0
950,7.0
951,0.0
952,5.0
953,6.0
954,3.0
955,9.0
956,12.0
957,4.0
958,8.0
959,1.0
960,2.0
961,5.0
962,7.0
963,2.0
964,11.0
965,5.0
966,2.0
967,12.0
968,5.0
969,5.0
970,10.0
971,13.0
972,3.0
973,2.0
974,3.0
975,9.0
976,1.0
977,11.0
978,7.0
979,2.0
980,6.0
981,1.0
982,8.0
983,1.0
984,1.0
985,9.0
986,12.0
987,5.0
988,5.0
989,13.0
990,1.0
991,1.0
992,11.0
993,1.0
994,3.0
995,9.0
996,7.0
997,4.0
998,0.0
999,2.0
1000,0.0
1001,14.0
1002,5.0
1003,8.0
1004,5.0
1005,7.0
1006,-1.0
1007,1.0
1008,7.0
1009,9.0
1010,10.0
1011,3.0
1012,7.0
1013,-1.0
1014,6.0
1015,3.0
1016,10.0
1017,1.0
1018,5.0
1019,4.0
1020,8.0
1021,8.0
1022,3.0
1023,10.0
