,steps
666,346
667,362
668,368
669,354
670,236
671,317
672,422
673,365
674,301
675,383
676,419
677,305
678,326
679,415
680,366
681,439
682,253
683,347
684,228
685,346
686,320
687,315
688,405
689,303
690,339
691,222
692,259
693,341
694,306
695,384
696,336
697,257
698,392
699,401
700,333
701,368
702,303
703,316
704,256
705,369
706,292
707,337
708,344
709,256
710,419
711,468
712,442
713,457
714,519
715,346
716,358
717,287
718,310
719,240
720,270
721,240
722,330
723,458
724,235
725,430
726,420
727,319
728,303
729,341
730,305
731,294
732,318
733,303
734,255
735,175
736,284
737,347
738,318
739,418
740,469
741,315
742,381
743,336
744,369
745,335
746,339
747,358
748,268
749,256
750,390
751,383
752,219
753,273
754,413
755,445
756,219
757,310
758,418
759,317
760,339
761,353
762,257
763,504
764,357
765,335
766,526
767,441
768,286
769,332
770,375
771,281
772,289
773,393
774,279
775,266
776,402
777,284
778,290
779,501
780,412
781,301
782,306
783,207
784,316
785,340
786,325
787,412
788,518
789,365
790,339
791,304
792,337
793,344
794,462
795,353
796,400
797,350
798,395
799,332
800,316
801,434
802,259
803,316
804,306
805,426
806,325
807,336
808,367
809,419
810,336
811,518
812,255
813,240
814,257
815,408
816,398
817,420
818,326
819,366
820,484
821,571
822,421
823,594
824,440
825,421
826,434
827,303
828,317
829,426
830,236
831,329
832,576
833,321
834,254
835,270
836,275
837,405
838,257
839,284
840,253
841,257
842,368
843,205
844,341
845,473
846,429
847,408
848,395
849,341
850,316
851,372
852,302
853,396
854,441
855,241
856,370
857,270
858,256
859,401
860,359
861,335
862,501
863,554
864,302
865,297
866,348
867,270
868,343
869,452
870,341
871,350
872,300
873,276
874,259
875,627
876,441
877,329
878,530
879,415
880,450
881,306
882,287
883,296
884,302
885,364
886,315
887,239
888,453
889,488
890,357
891,610
892,392
893,505
894,297
895,256
896,359
897,284
898,371
899,367
900,532
901,284
902,321
903,438
904,271
905,309
906,341
907,287
908,342
909,370
910,360
911,511
912,291
913,292
914,300
915,468
916,415
917,384
918,339
919,290
920,472
921,289
922,268
923,412
924,300
925,342
926,302
927,350
928,244
929,473
930,366
931,494
932,423
933,497
934,354
935,296
936,498
937,327
938,263
939,223
940,382
941,270
942,358
943,318
944,369
945,576
946,303
947,306
948,351
949,411
950,526
951,285
952,369
953,383
954,385
955,372
956,464
957,318
958,345
959,333
960,393
961,484
962,297
963,368
964,409
965,342
966,336
967,478
968,349
969,468
970,564
971,478
972,270
973,365
974,271
975,360
976,335
977,451
978,436
979,355
980,508
981,353
982,356
983,383
984,308
985,577
986,423
987,495
988,473
989,646
990,306
991,332
992,407
993,333
994,417
995,526
996,292
997,321
998,303
999,360
1000,285
1001,514
1002,469
1003,341
1004,372
1005,504
1006,255
1007,303
1008,523
1009,596
1010,386
1011,368
1012,435
1013,254
1014,469
1015,370
1016,546
1017,315
1018,354
1019,322
1020,602
1021,318
1022,289
1023,492
