,steps
0,119
1,117
2,193
3,242
4,164
5,117
6,118
7,193
8,193
9,193
10,146
11,118
12,194
13,117
14,146
15,119
16,118
17,165
18,273
19,281
20,146
21,196
22,192
23,193
24,224
25,147
26,118
27,164
28,117
29,119
30,147
31,148
32,286
33,164
34,146
35,207
36,119
37,290
38,118
39,147
40,166
41,208
42,117
43,165
44,192
45,119
46,118
47,293
48,116
49,177
50,164
51,163
52,147
53,147
54,295
55,164
56,147
57,193
58,148
59,176
60,222
61,193
62,286
63,119
64,146
65,147
66,175
67,240
68,145
69,192
70,244
71,146
72,146
73,207
74,145
75,163
76,194
77,263
78,245
79,239
80,291
81,146
82,226
83,208
84,145
85,119
86,145
87,147
88,146
89,192
90,255
91,175
92,270
93,117
94,118
95,175
96,164
97,297
98,206
99,328
100,146
101,291
102,241
103,193
104,252
105,175
106,221
107,146
108,272
109,208
110,178
111,176
112,263
113,261
114,147
115,270
116,191
117,221
118,211
119,224
120,221
121,193
122,271
123,295
124,146
125,177
126,192
127,254
128,304
129,244
130,164
131,236
132,269
133,176
134,323
135,221
136,146
137,243
138,339
139,225
140,118
141,118
142,195
143,226
144,254
145,193
146,213
147,196
148,270
149,271
150,176
151,207
152,238
153,267
154,299
155,242
156,207
157,145
158,226
159,243
160,224
161,145
162,270
163,214
164,192
165,208
166,177
167,212
168,206
169,267
170,176
171,253
172,417
173,251
174,219
175,269
176,193
177,222
178,250
179,224
180,339
181,253
182,257
183,271
184,288
185,209
186,208
187,177
188,351
189,251
190,304
191,176
192,176
193,315
194,317
195,325
196,242
197,292
198,286
199,212
200,226
201,241
202,191
203,164
204,223
205,192
206,302
207,337
208,222
209,272
210,257
211,146
212,289
213,211
214,236
215,368
216,258
217,253
218,283
219,196
220,206
221,207
222,175
223,401
224,292
225,254
226,271
227,252
228,260
229,192
230,297
231,277
232,145
233,290
234,306
235,220
236,240
237,212
238,255
239,305
240,273
241,253
242,212
243,319
244,176
245,179
246,271
247,255
248,221
249,164
250,288
251,287
252,193
253,221
254,236
255,482
256,316
257,340
258,260
259,304
260,212
261,310
262,240
263,221
264,237
265,241
266,256
267,240
268,193
269,323
270,494
271,193
272,240
273,400
274,305
275,287
276,207
277,256
278,320
279,207
280,208
281,175
282,174
283,272
284,164
285,193
286,192
287,226
288,225
289,322
290,285
291,253
292,360
293,273
294,325
295,328
296,272
297,221
298,292
299,194
300,284
301,302
302,317
303,288
304,320
305,271
306,303
307,240
308,412
309,164
310,355
311,379
312,165
313,239
314,321
315,302
316,391
317,390
318,446
319,256
320,239
321,207
322,372
323,207
324,285
325,257
326,241
327,270
328,254
329,379
330,239
331,307
332,253
333,226
334,305
335,318
336,148
337,302
338,191
339,469
340,329
341,240
342,290
343,306
344,191
345,339
346,305
347,304
348,287
349,222
350,281
351,255
352,288
353,240
354,337
355,270
356,303
357,259
358,237
359,402
360,317
361,242
362,193
363,337
364,402
365,349
366,243
367,164
368,212
369,256
370,285
371,164
372,330
373,309
374,331
375,282
376,256
377,300
378,305
379,213
380,196
381,254
382,259
383,223
384,238
385,347
386,244
387,221
388,212
389,286
390,297
391,273
392,339
393,242
394,315
395,335
396,240
397,384
398,225
399,303
400,311
401,257
402,273
403,288
404,334
405,255
406,231
407,335
408,439
409,226
410,404
411,415
412,240
413,259
414,380
415,240
416,206
417,268
418,333
419,253
420,252
421,251
422,308
423,252
424,271
425,286
426,383
427,225
428,239
429,283
430,289
431,546
432,257
433,470
434,242
435,271
436,286
437,354
438,341
439,175
440,349
441,331
442,253
443,272
444,359
445,364
446,237
447,208
448,422
449,302
450,364
451,290
452,303
453,255
454,303
455,357
456,258
457,364
458,335
459,426
460,291
461,176
462,210
463,177
464,345
465,281
466,384
467,262
468,268
469,316
470,240
471,339
472,337
473,270
474,258
475,339
476,397
477,322
478,270
479,339
480,292
481,270
482,181
483,321
484,280
485,334
486,220
487,275
488,299
489,359
490,226
491,256
492,333
493,225
494,305
495,321
496,329
497,286
498,535
499,385
500,326
501,225
502,349
503,299
504,284
505,386
506,388
507,144
508,314
509,324
510,302
511,424
512,362
513,469
514,367
515,291
516,328
517,389
518,302
519,268
520,306
521,257
522,256
523,357
524,271
525,315
526,321
527,251
528,252
529,325
530,144
531,386
532,341
533,239
534,193
535,288
536,297
537,303
538,357
539,302
540,488
541,224
542,279
543,163
544,242
545,254
546,268
547,385
548,381
549,427
550,320
551,361
552,330
553,339
554,287
555,192
556,304
557,278
558,178
559,318
560,306
561,332
562,304
563,378
564,292
565,370
566,256
567,402
568,335
569,287
570,335
571,539
572,302
573,273
574,257
575,302
576,320
577,343
578,290
579,385
580,515
581,315
582,343
583,175
584,379
585,282
586,348
587,355
588,281
589,380
590,370
591,293
592,364
593,287
594,286
595,315
596,346
597,384
598,438
599,276
600,466
601,300
602,312
603,287
604,286
605,321
606,256
607,342
608,500
609,175
610,239
611,438
612,193
613,256
614,303
615,283
616,239
617,276
618,239
619,207
620,364
621,242
622,287
623,271
624,278
625,239
626,292
627,415
628,500
629,353
630,289
631,257
632,419
633,258
634,268
635,320
636,251
637,363
638,291
639,304
640,463
641,386
642,302
643,349
644,341
645,296
646,393
647,371
648,389
649,318
650,430
651,276
652,292
653,276
654,381
655,271
656,352
657,552
658,315
659,287
660,349
661,322
662,439
663,412
664,256
665,325
