,reward
0,-2.7506265664160403
1,-2.646153846153846
2,-3.1452599388379205
3,-2.776053215077605
4,-2.592936802973978
5,-2.2109634551495017
6,-2.9430894308943087
7,-2.9128205128205127
8,-3.036669970267592
9,-2.7690875232774674
10,-2.8230769230769233
11,-2.613065326633166
12,-3.143979057591623
13,-2.335064935064935
14,-2.736111111111111
15,-1.541899441340782
16,-0.9577677224736049
17,-3.782608695652174
18,-2.273792093704246
19,-2.267741935483871
20,-3.26027397260274
21,-3.0905109489051097
22,-2.253191489361702
23,-2.434931506849315
24,-2.3009320905459387
25,-2.69701726844584
26,-2.1731958762886596
27,-2.9885057471264367
28,-1.8370044052863437
29,-2.2433862433862433
30,-2.966666666666667
31,-1.0727650727650728
32,-2.045977011494253
33,-2.009727626459144
34,-2.247787610619469
35,-0.7847533632286996
36,-1.4502369668246446
37,-0.9961977186311787
38,-1.5574468085106383
39,-1.6166666666666667
40,-0.8424908424908425
41,-2.4260450160771705
42,-1.379182156133829
43,-2.015492957746479
44,-1.302325581395349
45,-1.3251318101933216
47,0.017761989342806393
48,-1.3029315960912051
49,-1.914438502673797
50,-3.5180722891566263
51,-2.957627118644068
52,-0.5451263537906137
53,1.0287769784172662
54,1.7789661319073085
56,-1.353153153153153
57,2.107806691449814
58,-3.2878535773710484
59,-2.870629370629371
60,-0.6502835538752363
62,-0.7183544303797469
63,-3.1226415094339623
64,-0.6810344827586207
65,-1.1482758620689655
66,1.9243243243243244
67,2.3781094527363185
68,2.189683860232945
70,1.6069651741293531
71,-2.3702479338842974
72,1.9630872483221478
74,0.8450920245398773
75,-1.3956228956228955
76,0.6236391912908242
77,-2.291970802919708
79,-3.158756137479542
80,-0.942215088282504
81,1.1595900439238653
82,-0.3089430894308943
83,-1.6071428571428572
84,-0.820979020979021
85,0.4276094276094276
86,-0.3468354430379747
87,1.6967071057192373
88,1.1321739130434783
89,0.07615230460921844
90,-0.5720930232558139
91,-2.8086816720257235
92,-0.5602968460111317
93,-3.3728813559322033
94,-3.45480631276901
95,-2.803163444639719
96,-2.128352490421456
97,1.149046793760832
99,-0.5583333333333333
100,0.8316993464052288
101,-0.25
102,1.8053097345132743
103,-3.1135531135531136
104,-3.206773618538324
105,-1.7733755942947702
106,0.019011406844106463
107,-1.191860465116279
108,1.1985940246045694
109,-0.021238938053097345
110,1.6108007448789572
