,reward
0,-3.0
1,-2.0
2,-4.0
3,-4.0
4,-5.0
5,-5.0
6,-4.0
7,-5.0
8,-5.0
9,-4.0
10,-3.0
11,-4.0
12,-5.0
13,-2.0
14,-4.0
15,-3.0
16,-5.0
17,-5.0
18,-4.0
19,-4.0
20,-3.0
21,-3.0
22,-5.0
23,-2.0
24,-5.0
25,-4.0
26,-5.0
27,-5.0
28,-5.0
29,-3.0
30,-5.0
31,0.0
32,-5.0
33,-4.0
34,-4.0
35,-3.0
36,-3.0
37,-3.0
38,-5.0
39,-4.0
40,-5.0
41,-3.0
42,-5.0
43,-5.0
44,-5.0
45,-3.0
46,-2.0
47,-4.0
48,-5.0
49,-5.0
50,-5.0
51,-3.0
52,-4.0
53,-4.0
54,-4.0
55,-3.0
56,0.0
57,-4.0
58,-2.0
59,-4.0
60,-1.0
61,-2.0
62,-2.0
63,0.0
64,-3.0
65,-2.0
66,-1.0
67,-4.0
68,1.0
69,-1.0
70,-1.0
71,-2.0
72,0.0
73,-2.0
74,-3.0
75,2.0
76,-2.0
77,-3.0
78,0.0
79,-2.0
80,-1.0
81,-1.0
82,-2.0
83,0.0
84,-1.0
85,-2.0
86,-2.0
87,1.0
88,-3.0
89,-1.0
90,-2.0
91,1.0
92,-3.0
93,-2.0
94,-1.0
95,-3.0
96,-2.0
97,0.0
98,-2.0
99,2.0
100,-2.0
101,-2.0
102,-2.0
103,-2.0
104,-2.0
105,-1.0
106,-2.0
107,1.0
108,-2.0
109,-2.0
110,-2.0
111,-2.0
112,2.0
113,-2.0
114,0.0
115,4.0
116,0.0
117,-4.0
118,-2.0
119,-1.0
120,-3.0
121,-1.0
122,4.0
123,-2.0
124,-3.0
125,-3.0
126,3.0
127,0.0
128,2.0
129,0.0
130,-2.0
131,-1.0
132,-1.0
133,3.0
134,3.0
135,2.0
136,1.0
137,-2.0
138,-1.0
139,-2.0
140,-1.0
141,-3.0
142,1.0
143,-1.0
144,4.0
145,4.0
146,-3.0
147,-1.0
148,2.0
149,-2.0
150,7.0
151,5.0
152,2.0
153,2.0
154,0.0
155,-1.0
156,2.0
157,-4.0
158,0.0
159,4.0
160,-2.0
161,3.0
162,1.0
163,4.0
164,0.0
165,2.0
166,2.0
167,-3.0
168,0.0
169,0.0
170,-1.0
171,-2.0
172,3.0
173,5.0
174,3.0
175,0.0
176,-3.0
177,-3.0
178,3.0
179,-4.0
180,-2.0
181,-2.0
182,-4.0
183,-2.0
184,-3.0
185,-3.0
186,-1.0
187,0.0
188,-3.0
189,-3.0
190,2.0
191,-4.0
192,2.0
193,-4.0
194,-4.0
195,-1.0
196,4.0
197,-2.0
198,3.0
199,2.0
200,0.0
201,7.0
202,7.0
203,4.0
204,7.0
205,-1.0
206,-1.0
207,2.0
208,0.0
209,0.0
210,1.0
211,0.0
212,-2.0
213,-2.0
214,2.0
215,-2.0
216,0.0
217,7.0
218,3.0
219,2.0
220,5.0
221,4.0
222,3.0
223,8.0
224,-3.0
225,3.0
226,7.0
227,-1.0
228,5.0
229,-3.0
230,0.0
231,11.0
232,7.0
233,-1.0
234,5.0
235,-3.0
236,4.0
237,2.0
238,0.0
239,3.0
240,5.0
241,0.0
242,-2.0
243,0.0
244,-4.0
245,0.0
246,3.0
247,3.0
248,7.0
249,-1.0
250,2.0
251,3.0
252,2.0
253,-1.0
254,3.0
255,0.0
256,-1.0
257,12.0
258,5.0
259,-1.0
260,3.0
261,2.0
262,5.0
263,3.0
264,7.0
265,6.0
266,-1.0
267,3.0
268,-1.0
269,5.0
270,7.0
271,7.0
272,7.0
273,0.0
274,7.0
275,4.0
276,0.0
277,1.0
278,2.0
279,-2.0
280,2.0
281,5.0
282,1.0
283,4.0
284,9.0
285,4.0
286,4.0
287,0.0
288,-1.0
289,3.0
290,-1.0
291,10.0
292,1.0
293,7.0
294,1.0
295,4.0
296,0.0
297,1.0
298,0.0
299,0.0
300,-1.0
301,5.0
302,0.0
303,0.0
304,-1.0
305,2.0
306,5.0
307,-1.0
308,7.0
309,-1.0
310,-1.0
311,-1.0
312,-3.0
313,10.0
314,-1.0
315,0.0
316,-1.0
317,0.0
318,-2.0
319,5.0
320,-3.0
321,-3.0
322,5.0
323,5.0
324,7.0
325,-1.0
326,5.0
327,-1.0
328,9.0
329,3.0
330,3.0
331,3.0
332,8.0
333,5.0
334,-4.0
335,-2.0
336,3.0
337,3.0
338,2.0
339,-1.0
340,0.0
341,2.0
342,-2.0
343,5.0
344,-1.0
345,7.0
346,7.0
347,7.0
348,0.0
349,3.0
350,4.0
351,3.0
352,5.0
353,0.0
354,2.0
355,2.0
356,8.0
357,3.0
358,4.0
359,7.0
360,-3.0
361,11.0
362,7.0
363,14.0
364,11.0
365,3.0
366,-1.0
367,-1.0
368,4.0
369,9.0
370,6.0
371,1.0
372,12.0
373,6.0
374,0.0
375,1.0
376,-1.0
377,3.0
378,9.0
379,3.0
380,2.0
381,-2.0
382,17.0
383,4.0
384,9.0
385,14.0
386,3.0
387,8.0
388,0.0
389,4.0
390,-1.0
391,1.0
392,11.0
393,2.0
394,8.0
395,1.0
396,-1.0
397,4.0
398,7.0
399,1.0
400,-2.0
401,2.0
402,2.0
403,9.0
404,5.0
405,10.0
406,13.0
407,12.0
408,3.0
409,5.0
410,5.0
411,4.0
412,10.0
413,10.0
414,5.0
415,1.0
416,3.0
417,1.0
418,4.0
419,12.0
420,5.0
421,0.0
422,3.0
423,12.0
424,5.0
425,9.0
426,0.0
427,3.0
428,1.0
429,12.0
430,0.0
431,2.0
432,13.0
433,0.0
434,-1.0
435,11.0
436,-1.0
437,1.0
438,8.0
439,14.0
440,4.0
441,5.0
442,3.0
443,3.0
444,4.0
445,8.0
446,11.0
447,3.0
448,5.0
449,6.0
450,-1.0
451,2.0
452,11.0
453,9.0
454,1.0
455,4.0
456,0.0
457,-1.0
458,1.0
459,2.0
460,3.0
461,1.0
462,-2.0
463,1.0
464,2.0
465,12.0
466,0.0
467,0.0
468,6.0
469,10.0
470,0.0
471,0.0
472,0.0
473,0.0
474,10.0
475,0.0
476,-3.0
477,7.0
478,9.0
479,3.0
480,1.0
481,5.0
482,0.0
483,0.0
484,13.0
485,5.0
486,-2.0
487,9.0
488,4.0
489,8.0
490,1.0
491,3.0
492,0.0
493,4.0
494,3.0
495,4.0
496,2.0
497,-2.0
498,-2.0
499,-1.0
500,0.0
501,0.0
502,-2.0
503,1.0
504,3.0
505,5.0
506,1.0
507,0.0
508,14.0
509,0.0
510,3.0
511,4.0
