,loss
0,0.021876935
1,0.02467535
2,0.024084395
3,0.017383944
4,0.014376453
5,0.013893683
6,0.013822966
7,0.012619717
8,0.0022327513
9,0.015107748
10,0.0007489525
11,0.014051464
12,0.013248317
13,0.0133095
14,0.013016103
15,0.013075688
16,0.016405962
17,0.0011081524
18,0.00023427294
19,0.029066753
20,0.0011943604
21,0.013354061
22,0.01265268
23,0.0021147681
24,0.00014380363
25,0.014915999
26,0.013763336
27,0.02765414
28,0.014468527
29,0.026258256
30,0.02579674
31,0.02486592
32,0.014000318
33,0.025418269
34,0.013747877
35,0.0010754305
36,0.013481102
37,0.012658043
38,0.013662663
39,0.013535004
40,0.027885353
41,0.0020838836
42,0.0004283413
43,0.00041142775
44,0.00022994693
45,0.028073614
46,0.024122516
47,0.010437796
48,0.00073528715
49,0.023791088
50,0.02976912
51,0.022263417
52,0.0013274093
53,0.013138439
54,0.0005319883
55,0.00026031668
56,0.010130006
57,0.015261101
58,0.009150861
59,0.013553669
60,0.00084473076
61,0.02088082
62,0.019453904
63,0.011575676
64,0.024722429
65,0.0037831836
66,0.019331068
67,0.03205481
68,0.012246594
69,0.0072196554
70,0.0051118694
71,0.004017646
72,0.0038071831
73,0.00078062766
74,0.0027358257
75,0.0026095826
76,0.03095682
77,0.015867226
78,0.012927615
79,0.015142977
80,0.0016507119
81,0.00058451673
82,0.014069568
83,0.00095130294
84,0.015641632
85,0.0034923842
86,0.013833996
87,0.039830927
88,0.016012013
89,0.02689496
90,0.0019276405
91,0.040433817
92,0.015594209
93,0.012017294
94,0.0016082772
95,0.0008953182
96,0.0005111135
97,0.01713802
98,0.02713458
99,0.001483287
100,0.0009336957
101,0.0003472352
102,0.029717615
103,0.0016892474
104,0.045251116
105,0.014639354
106,0.015274032
107,0.029174421
108,0.0063328384
109,0.02965774
110,0.014856001
111,0.026524033
112,0.0018599317
113,0.0010208512
114,0.015776161
115,0.00092752295
116,0.014306495
117,0.015207856
118,0.014638491
119,0.014609794
120,0.016001755
121,0.001370766
122,0.0011424769
123,0.00022820503
124,0.028584858
125,0.013920706
126,0.014182943
127,0.00095704675
128,0.00040759757
129,0.00050694234
130,0.01517455
131,0.00047957996
132,0.00046783983
133,0.00026130764
134,0.013574642
135,0.014390717
136,0.028163234
137,0.026255103
138,0.014315955
139,0.00065899885
140,0.0009450859
141,0.013886713
142,0.012251403
143,0.017160755
144,0.0010211201
145,0.014901464
146,0.00081831176
147,0.014080016
148,0.00089068647
149,6.8188e-05
150,0.014229937
151,0.0007362692
152,0.014808701
153,0.00072023243
154,0.02790564
155,0.0011511067
