,steps
0,217
1,262
2,145
3,147
4,117
5,118
6,146
7,118
8,117
9,146
10,193
11,145
12,119
13,245
14,164
15,193
16,116
17,116
18,165
19,165
20,218
21,193
22,117
23,245
24,118
25,165
26,118
27,119
28,119
29,216
30,118
31,313
32,119
33,145
34,146
35,192
36,175
37,173
38,118
39,164
40,118
41,191
42,118
43,116
44,118
45,194
46,222
47,165
48,119
49,118
50,119
51,193
52,164
53,145
54,166
55,194
56,301
57,146
58,220
59,164
60,241
61,223
62,242
63,319
64,175
65,221
66,251
67,147
68,367
69,251
70,291
71,243
72,298
73,222
74,193
75,378
76,208
77,191
78,299
79,208
80,235
81,274
82,222
83,341
84,293
85,259
86,242
87,339
88,195
89,291
90,223
91,366
92,176
93,260
94,270
95,176
96,222
97,335
98,243
99,399
100,221
101,222
102,225
103,241
104,208
105,250
106,208
107,348
108,207
109,205
110,244
111,206
112,362
113,223
114,305
115,315
116,320
117,145
118,205
119,235
120,177
121,273
122,318
123,223
124,175
125,176
126,269
127,287
128,364
129,285
130,206
131,237
132,255
133,426
134,271
135,242
136,331
137,226
138,259
139,207
140,254
141,176
142,314
143,256
144,341
145,318
146,175
147,236
148,383
149,206
150,310
151,352
152,365
153,401
154,268
155,274
156,365
157,163
158,306
159,339
160,207
161,270
162,319
163,338
164,286
165,239
166,239
167,194
168,264
169,282
170,278
171,240
172,397
173,339
174,288
175,341
176,195
177,194
178,270
179,164
180,221
181,241
182,165
183,208
184,194
185,179
186,251
187,287
188,192
189,194
190,239
191,166
192,369
193,147
194,164
195,294
196,339
197,221
198,288
199,239
200,298
201,467
202,310
203,315
204,465
205,253
206,255
207,362
208,286
209,306
210,345
211,304
212,221
213,206
214,239
215,207
216,315
217,310
218,286
219,358
220,369
221,335
222,271
223,481
224,194
225,270
226,292
227,252
228,365
229,196
230,289
231,457
232,292
233,252
234,468
235,193
236,317
237,240
238,287
239,425
240,360
241,303
242,207
243,306
244,165
245,302
246,289
247,391
248,310
249,257
250,240
251,420
252,398
253,256
254,419
255,268
256,235
257,517
258,388
259,254
260,288
261,240
262,347
263,286
264,292
265,378
266,255
267,286
268,256
269,369
270,292
271,310
272,433
273,284
274,292
275,451
276,302
277,351
278,379
279,244
280,240
281,365
282,329
283,319
284,367
285,301
286,470
287,338
288,237
289,274
290,240
291,444
292,332
293,434
294,365
295,306
296,285
297,338
298,298
299,289
300,257
301,387
302,304
303,310
304,255
305,397
306,367
307,276
308,593
309,259
310,256
311,255
312,196
313,459
314,257
315,304
316,251
317,302
318,204
319,370
320,175
321,175
322,350
323,351
324,292
325,238
326,354
327,251
328,372
329,270
330,271
331,289
332,339
333,349
334,165
335,207
336,270
337,268
338,239
339,257
340,284
341,381
342,222
343,480
344,266
345,295
346,293
347,292
348,297
349,274
350,318
351,450
352,377
353,309
354,403
355,358
356,315
357,403
358,321
359,418
360,175
361,475
362,292
363,385
364,454
365,434
366,237
367,256
368,321
369,361
370,483
371,342
372,376
373,398
374,305
375,336
376,237
377,289
378,351
379,290
380,421
381,225
382,567
383,431
384,406
385,419
386,292
387,341
388,306
389,339
390,266
391,368
392,426
393,381
394,361
395,331
396,256
397,338
398,297
399,341
400,225
401,385
402,369
403,489
404,369
405,476
406,544
407,339
408,566
409,339
410,452
411,302
412,385
413,444
414,389
415,320
416,413
417,347
418,468
419,525
420,369
421,299
422,422
423,350
424,476
425,499
426,303
427,453
428,349
429,340
430,298
431,377
432,399
433,268
434,254
435,452
436,238
437,341
438,450
439,448
440,465
441,371
442,431
443,274
444,485
445,341
446,439
447,446
448,457
449,384
450,256
451,349
452,449
453,408
454,348
455,451
456,291
457,254
458,352
459,401
460,272
461,353
462,225
463,349
464,383
465,475
466,285
467,300
468,378
469,461
470,270
471,285
472,319
473,304
474,575
475,306
476,191
477,448
478,395
479,400
480,348
481,370
482,306
483,341
484,418
485,370
486,225
487,361
488,341
489,354
490,361
491,288
492,307
493,424
494,412
495,471
496,381
497,220
498,225
499,252
500,301
501,277
502,226
503,315
504,403
505,351
506,352
507,304
508,448
509,307
510,273
511,463
