,loss
0,0.0031873428
1,0.008485591
2,0.005191701
3,0.0014770421
4,0.0010624646
5,0.00043232576
6,0.0003119772
7,8.6927335e-05
8,0.029554605
9,0.0019792316
10,0.028660866
11,0.0010578642
12,0.027216475
13,0.024759764
14,0.025809107
15,0.001611158
16,0.00072164263
17,0.026697531
18,0.0013384538
19,0.0010005508
20,0.026754066
21,0.001115846
22,0.00061284663
23,0.026475769
24,0.024868228
25,0.023141919
26,0.025246141
27,0.0017705341
28,0.0006517414
29,0.0014514553
30,0.0007372892
31,0.001140224
32,0.00083854824
33,0.00060814427
34,0.03236522
35,0.0005903511
36,0.05872175
37,0.0013755978
38,0.026909828
39,0.0015459227
40,0.0011749871
41,0.0006454099
42,0.028155155
43,0.031790093
44,0.027513487
45,0.00072717277
46,0.0008629665
47,0.0009761285
48,0.030737896
49,0.0008376827
50,0.0005663332
51,0.030205099
52,0.00041941364
53,0.00040772045
54,0.00028934458
55,0.028972888
56,0.0010806955
57,0.00044717992
58,0.0003176717
59,0.00027339964
60,0.00013033005
61,0.0309371
62,0.028692894
63,0.0012409867
64,0.00015390643
65,0.00041534222
66,0.028591935
67,0.05656162
68,0.03045117
69,0.028347978
70,0.0009859721
71,0.0005114438
72,0.0004987392
73,0.00016197236
74,0.0001295603
75,0.030290112
76,0.00039089617
77,0.056700677
78,0.027672596
79,0.02841785
80,0.001582128
81,0.00062376703
82,0.027394501
83,0.001213547
84,0.030927157
85,0.00082214107
86,0.0005134759
87,0.02842406
88,0.0006128289
89,0.00047983788
90,0.028498953
91,0.02698722
92,0.025628611
93,0.00370631
94,0.02740139
95,0.05833949
96,0.0010711186
97,0.02900049
98,0.027953833
99,0.00053549703
100,0.0006932152
101,0.00039598852
102,0.028055748
103,0.031213567
104,0.028242359
105,0.0010702877
106,0.05561648
107,0.055337638
108,0.0013018851
109,0.02813046
110,0.027636666
111,0.0541732
112,0.0014269947
113,0.0006212564
114,0.0011494522
115,0.027756141
116,0.0006852157
117,0.00068224204
118,0.026569504
119,0.0007374138
120,0.054618426
121,0.0009929966
122,0.00079875387
123,0.00061955076
124,0.02726045
125,0.0011283656
126,0.0017087372
127,0.00029356667
128,0.028245224
129,0.027161127
130,0.026049946
131,0.00024553502
132,0.0018140911
133,0.06316304
134,0.00026867987
135,0.0296563
136,0.0008518995
137,0.00046789402
138,0.032988004
139,0.030671518
140,0.0025255212
141,0.03114612
142,0.00043559264
143,0.00012827918
144,0.00027213542
145,0.029249782
146,0.000586393
147,0.02891526
148,0.030381799
149,0.028597888
150,0.00066405645
151,0.0007753584
152,0.027432654
153,0.05353312
154,0.038647678
155,0.0007808278
156,0.00029828044
157,0.028128471
158,0.036231413
159,0.00037777674
160,0.00024973392
161,0.028090026
162,0.033824887
163,0.00036708824
164,0.029862922
165,0.028596636
166,0.034606483
167,0.0558505
168,0.028098673
169,0.00022955485
170,0.00037240548
171,0.00030025054
172,0.029353678
173,0.00028061314
174,0.055532392
175,0.00062667276
176,0.00086008094
177,0.05388947
178,0.026264517
179,0.0005757198
180,0.0017254076
181,0.0006204011
182,0.00019350325
183,0.0002930725
184,0.00034058208
185,0.026482504
186,0.0006663584
187,0.06680457
188,0.00047245924
189,0.031311948
190,0.0008692057
191,0.053452212
192,0.002310925
193,0.00020619461
194,0.00029344374
195,0.058251157
196,0.00023802367
197,6.0175335e-05
198,0.031772234
199,0.00017103644
200,0.027913406
201,0.028971454
202,0.055294164
203,0.026484685
204,0.0014408062
205,0.025939537
206,0.0007184781
207,0.02449803
208,0.00060804375
209,0.02755348
210,0.0010654151
211,0.026909739
212,0.0016492002
213,0.0008924082
214,0.0009732962
215,0.0006981263
216,0.0007176361
217,4.828891e-05
218,0.00026407602
219,0.054819252
220,0.026989946
221,0.07231364
222,0.0003676422
223,0.032060817
224,0.0013796495
225,0.034010552
226,4.4988392e-05
227,0.00023427731
228,0.056372594
229,0.00105778
230,0.025175042
231,0.0007616333
232,0.024208287
233,0.028504862
234,0.00039848714
235,0.03142388
236,0.034473393
237,0.025076166
238,9.772572e-05
239,0.02890425
240,0.06419903
241,0.03041002
242,0.00065374403
243,0.00021472515
244,0.05526013
245,0.0006172331
246,0.00059389224
247,0.00025634686
248,0.0002693937
249,0.027242936
250,0.026995664
251,0.0249231
252,0.028138382
253,0.032708567
254,0.0011127351
255,0.00039743623
256,0.025018243
257,0.00084902183
258,0.001088748
259,0.0012116545
260,0.00022735
261,0.0002531121
262,0.05623405
263,0.0010191218
264,0.0008637001
265,0.0007564798
266,0.027613778
267,0.0003303662
268,0.024883065
269,0.00065105024
270,0.0013723958
271,0.0005439328
272,0.0006640391
273,0.024922907
274,0.064895414
275,0.05607412
276,0.049135953
277,0.02095651
278,0.029724741
279,0.001453018
280,0.03107327
281,0.028765786
282,0.02594778
283,0.0009981722
284,0.06723268
285,0.00024009809
286,0.028942836
287,0.026810067
288,0.025138658
289,0.03509992
290,0.02986786
291,0.03156827
292,0.00056825706
293,0.0002550934
294,0.02650129
295,0.04975077
296,0.0017378568
